Game, Valence, Engagement

1,-0.6294944,0.109894

1,-0.04458094,0.07998849

1,-0.04472758,0.08029594

1,-0.05089479,0.08049175

1,-0.04174805,0.08022956

1,-0.05782878,0.08034823

1,-0.0584961,0.08087419

1,-0.05823727,0.0806377

1,-0.05160427,0.08125398

1,-0.06161976,0.0815471

1,-0.04911719,0.08114013

1,-0.06344986,0.08104038

1,-0.05292463,0.08103535

1,-0.04106808,0.08128802

1,-0.05711823,0.08156631

1,-0.05648994,0.08175179

1,-0.05564308,0.08113425

1,-0.05161503,0.08117757

1,-0.05139415,0.08077503

1,-0.05297903,0.08070731

1,-0.05384922,0.08129802

1,-0.04648154,0.08149134

1,-0.05125618,0.08140362

1,-0.05047607,0.08128363

1,-0.05748177,0.08071401

1,-0.05667823,0.08126237

1,-0.0682332,0.08088475

1,-0.0540479,0.08099625

1,-0.05026539,0.08111838

1,-0.0534175,0.08086047

1,-0.06185023,0.08183488

1,-0.04931993,0.0808731

1,-0.05247498,0.08024686

1,-0.05327352,0.08031615

1,-0.06154398,0.08077048

1,-0.04286679,0.08074109

1,-0.03954609,0.08066746

1,-0.04331817,0.08072233

1,-0.05184784,0.08033992

1,-0.0406072,0.08017046

1,-0.04464831,0.08006471

